;Preprocessed Title and Abstract
2262;wage high-tech start-ups–do academic spinoff pay wage premium origin university academic spinoff operate forefront technological academic spinoff exhibit skill-biased labour demand academic spinoff demand employee cutting-edge knowledge technical skill accommodate demand academic spinoff pay relative wage premium compared high-tech start-ups comprehensive theoretical assessment wage startup unambiguously predicts existence direction wage differential academic spinoff spinoff address gap examines empirically academic spinoff pay employee wage premium unique linked employer-employee set german high-tech start-ups estimate mincer-type wage regression applying hausman-taylor panel estimator academic spinoff pay wage premium notable exception academic spinoff commercialise method pay wage premium employee link university sector university graduate student worker
2874;product market peer lending examines product market peer affect lending relationship contend borrow bank previously lent peer mitigate information asymmetry bank potential information processing efficiency information efficiency hypothesis decreased propensity borrow shared lender leaking proprietary information proprietary information leakage hypothesis bank merger involve peer lender switch bank avoid sharing lender product market peer cross-sectional analysis bank merger involve peer bank switch financial reporting opaque monitoring consistent information efficiency hypothesis contrast switch bank merger involve peer bank belongs industry proprietary bank incentive leak information consistent proprietary hypothesis
934;strategic information management leakage supply chain importance material flow management profit-maximizing articulated supply chain demonstrate analytical actively manage information flow supply chain translates controlling competitor supplier horizontal competition informed uninformed common upstream supplier material information flow intersect leakage demand information unintended recipient informed drive control information flow supply chain trigger operational loss material flow distortion loss severe prefer acquire information costless underscore importance strategic information management actively managing supply chain information flow trade-off material flow appropriate maximize profit
1524;destabilisation existing regime confronting multi-dimensional framework british coal industry innovation oriented novelty scholar field paid attention destabilisation existing regime discus view industry destabilisation encompassing conceptual framework address interaction build-up external pressure industry response strategy gradual weakening commitment existing regime element confront framework in-depth longitudinal british coal industry specific conclusion developed degree regime inertia ebb flow external pressure relative importance economic socio-political pressure interaction
301;system‐on‐a‐chip integration semiconductor industry industry strategy miniaturization spurred ever‐increasing on‐chip integration semiconductor industry large‐scale electronic system single chip proliferation systems‐on‐a‐chip repercussion electronics industry strategy electronics detailed apply theoretical framework developed somaya teece combining invention multi‐invention context organizational choice intellectual-property-right public policy ssrn available www.ssrn.com understand system‐on‐a‐chip integration altering balance integrated component trading licensing module semiconductor industry consistent framework observe burgeoning market licensed dm industry primarily in‐house pursued integrated technical institutional factor shaping industry strategy pursued documented framework implication drawn strategy response technological shift engendered system‐on‐a‐chip semiconductor industry extend somaya–teece framework include strategy seek influence institutional environment operate alter balance competing organizational mode
1191;intrapreneurship entrepreneurship explore factor determine business opportunity exploited starting venture employer nascent intrapreneurship independently nascent entrepreneurship nationally representative american adult gathered uncovers systematic difference driver nascent entrepreneurship nascent intrapreneurship nascent entrepreneur tend leverage human tie organize venture sell directly customer intrapreneurs disproportionately commercialize unique opportunity sell business implication discussed
2091;cook book china pay evidence private high‐technology summary document extent fraudulent reporting private chinese technology company comparing financial statement concurrently submitted agency demonstrate systematic gap reported profit figure set book half sampled company report incentive‐compatible materially discrepant profit agency politically connected company approximately percent commit fraud venture-capital percent pay cheat estimate company cook book considerably odds receiving innovation grant especially prevalence conclude fraud source performance differential emerging market company
143;global production network information technology taiwan recent development called question extent local agglomeration adequately encapsulates dynamic taiwan information technology industry pressure globalization global production network fore taiwan industrial strategy in-depth set explore issue taiwanese position global production network facilitate taiwanese participation global production network balance conjunction reshuffling business help taiwanese strengthen position global production network essence application facilitate networked participating setting rule game industrial competition international arena
1294;systematic integrated trend analysis the etching understanding technology trend critical importance country industry enterprise sustainable global competition attempt establish trend bibliometric patent analysis text-mining uncovers hidden information structured unstructured document serve knowledge carrier aim systematic integrated trend take account bibliometric patent text-mining etching selected integrating trend method proposed validity applicability integrated evaluated
140;innovation competition standard-based industry historical home video game market examines competitive dynamic standard-based industry historical observation home video game industry focus theoretical issue switching installed base critical factor dominant success network-based industry author reveals multiple stage technological innovation change market leadership industry standard short history industry industry exhibit generation technological change video game console product generation represented set competitor dominant market leader out-competing leader generation confirms efficacy traditional tenet strategic management network-based industry importance technological innovation building entry barrier protecting firm-specific asset competitive pricing brand recognition effective channel management traditional strategy geared achieve strategic goal building installed base network product critical success factor competing network-based industry
2868;ceo stay board predecessor board retention product innovation family understanding product innovation family endeavor economic predominance idiosyncrasy importance constant renewal achieve transgenerational survival recently family highlighted next‐generation chief executive officer ceo successor seen driver innovating family product typically neglected predecessor portrayed willing introduce product innovation frequently remain involved postsuccession occupying board position substantially influence decision‐making outcome family product innovation understanding predecessor postsuccession involvement family product innovation remains unclear building stakeholder salience insight innovation succession family develop hypothesis condition predecessor board retention affect product innovation family succession building family ceo succession medium‐sized privately owned family reveal predecessor board retention negatively affect product innovation strengthened involvement predecessor successor selection offset family succession contribute emerging stream family succession product innovation implication
2928;litigation innovation firms'ability litigate technological diversification human diversify technologically acquire human competitor legal challenge emerge intellectual property safeguard involved examine ability initiate intellectual property litigation protect litigation litigation ability antecedent technological diversification demonstrate unexpected reduction litigation ability temporary decline entry technological domain stronger existing inventor easily utilized domain inter‐firm mobility domain low extend highlighting proactive litigation ability span protecting existing intellectual property
1563;value creation university‐firm collaboration matching university‐based technological opportunity exploited joint corporate academic entrepreneurship activity university–industry collaboration explores partner attribute drive matching academic scientist involved relationship formation firm–faculty partnership endogenous selection driven synergy partner knowledge‐creation capability main indicate faculty–firm matching multidimensional scientist publishing capability substitute patenting skill furthermore scientist specialized knowledge create value teaming knowledge‐diversified partner contributes university–industry knowledge transfer alliance formation
856;regulatory policy value knowledge asset innovation strategy orphan drug act u.s orphan drug act research-and-development incentive drug-makers statutory patent protection explores act financial return innovation strategy orphan drug indicate financial return orphan drug positive suggest market size cumulative innovation phenomenon policy extends effective patent duration subsidizes research-and-development activity improves incentive innovate
2167;innovation within-firm wage inequality evidence major european country link wage inequality technology explicitly consider innovation contributes shaping wage inequality seek gap exploiting representative matched employer–employee survey active major european economy innovation tends wage-gap low decile within-firm wage distribution reduces wage-gap wage manager low-layer employee size play crucial mediating innovative egalitarian counterpart irrespective measure within-firm wage inequality considered
1719;antecedent merger-and-acquisition success strategic complementarity cultural fit degree speed integration develop comprehensive merger-and-acquisition success integrate fundamental construct school discus interdependency merger-and-acquisition success theoretical framework tested empirically small-and-medium-enterprises transaction machinery electronic logistic industry german speaking central europe demand integrative perspective merger-and-acquisition merger-and-acquisition success function strategic complementarity cultural fit degree integration strategic complementarity positively influence cultural fit degree integration cultural fit positively influence merger-and-acquisition success surprisingly speed degree integration degree integration positively speed integration copyright john son
401;strategic alliance internationalisation aircraft manufacturing industry indicator measuring technological level aircraft aircraft industry obliged deal technological barrier growing financial market barrier reduce complex network relationship developed network involves main belonging world oligopoly capable offering specialised technology potential broadening market worldwide production organisation highlight aircraft industry undergoing global reorganisation featuring integration europe fore future imagine form co-operation emerging european american
995;sticky information heterogeneous determining factor research-and-development cooperation customer aim investigate factor determining cooperation developing innovation specific agent customer user central variable recognised previous factor cooperation agent basically dealt purely theoretical viewpoint variable existence sticky information information costly obtain transfer presence heterogeneous market regarding variable account kind information sticky information information technological nature obtained spanish factor exert positive influence cooperative relationship agent
1467;unpacking dimension foreignness firm‐specific capability international dispersion regional cultural institutional space recent importance regional strategy interregional liability foreignness critic argument obscures difference region similarity bridging diverging viewpoint designed unpack debate cultural institutional regional component set significantly dispersed cultural institutional boundary geographically defined regional boundary indicate firm‐specific resource influence global dispersion nuanced interplay proprietary capability technology marketing partnering capability location activity
879;regulatory foresight methodology selected application regulatory foresight address allow future field regulatory action identified follow wide perception regulation include standard standardisation element regulatory framework methodology appropriate performing regulatory foresight make technology indicator enables identification field cause challenge regulatory framework regulatory body survey displayed enable regulatory body identify future regulation finally usability delphi methodology discussed delphi survey telecommunication concludes comparative methodological regarding effectiveness conduct regulatory foresight
2761;collaboration dominant research-and-development performer research-and-development employee innovation performance cultural context comparative research-and-development activity dependent innovative idea culture play determining leader-member relationship research-and-development employee innovation performance examined cultural influence sense cross-cultural comparison especially divergent setting rare contributes existing literature empirically testing culturally implicit leadership research-and-development activity patent co-inventing chinese american compared american research-and-development employee act subordinate chinese stronger initiative collaborate dominant research-and-development performer act leader research-and-development employee american appear indifferent relationship aware earlier collaboration dominant research-and-development performer beneficial chinese cultural characterized hierarchy collectivism collaboration play inverted parabolic determining research-and-development employee innovation performance quantitative qualitative aspect comparison american culture distinguished democracy individualism policy implication chinese cultural
1848;engagement gap exploring gender difference university–industry collaboration activity recent debate marginality woman academic extended academic engagement industry commercial effort analyzing multi-source physical engineering scientist employing matching technique suggests woman academic engage male colleague similar status collaboration activity industry argue ass difference mitigated woman scientist operate including presence woman local setting wider discipline institutional woman career organization explore implication policy woman technical career engagement industry
1236;shared invention evolution capability examining biotechnology industry capability evolve function unique tie cumulative exposure specific knowledge view capability evolution respect accumulation knowledge-derived assets patents proposes capability evolve solo joint experience contends capability uniquely shaped history patenting specific tie upstream downstream partner patent produced biotechnology joint experience diversifies capability broadens strategic option uncovering inverted relationship capability evolve unique joint experience continue engage joint experience develop broader capability retreat strategy pursue solo invention specialized capability develop focusing research-and-development strategy capability extend capability accounting path dependent shared property right influence technological trajectory
2463;global socio-technical regime address question socio-technical transition follow similar trajectory world relevant material precondition institutional context vary greatly region country take critical stance implicit methodological nationalism transition socio-technical regime concept proposes alternative global regime perspective embrace increasingly multi-scalar actor network institutional rationality influence transition dynamic national regional border drawing globalization sociology human geography socio-technical system develop institutional rationality diffused international network influential world shed light multi-scalar interrelatedness institutional actor socio-technical system elaborate implication conceptualization transition dynamic illustrates unsuccessful transition chinese wastewater sector recent indicate key decision wastewater infrastructure expansion influenced path-dependencies stemming china national equally critically dominant rationality water sector global socio-technical regime conclude discussing contour agenda notion global socio-technical regime
1346;broad cross‐license negotiation industry broad cross‐license agreement considered useful method obtain freedom operate avoid patent litigation incentive sign broad cross‐license duration broad cross‐license negotiation develop bargaining learning predicts enter broad cross‐license agreement intensity predicts faster negotiation intensity frequency future dispute low confirm prediction empirically novel set cross‐licensing litigation semiconductor industry
598;limit database protection fair exemption trend running diametrically opposed expansion intellectual-property-right ipr awareness dominant position sustained intellectual-property-right mitigated exemption statutory compulsory licence argued compelling economic reason protect valuable asset prone copying equally compelling reason limit monopolistic claim stimulate cross-licensing practice compulsory licensing serve stimulus bargaining private party institution alike category information public sector information access information concern european commission followed green public sector information information society directive implementing vision affordable access exploitation potential access information enforced european convention human right guarantee freedom speech recognises freedom receive information
1391;evolution innovation capability multinational-enterprises subsidiary dual network embeddedness divergence subsidiary specialisation taiwan examines innovation-related capability production marketing develop subsidiary level multinational-enterprises mnes focus subsidiary autonomy changing opportunity access external host source capability contribute accumulation specialist capability taiwan-based multinational-enterprises subsidiary semiconductor industry longitudinal accumulation subject discontinuity functional division re opened closed lifetime subsidiary composite set innovation output measure variation within-function level capability conclude subsidiary specialisation unique subsidiary-specific advantage evolved strongly influenced factor
1345;patent settlement barrier entry formulate entry incumbent firms a patent holder infringer and potential entrant asymmetric information validity infringed patent patent strength incumbent entrant framework patent settlement incumbent mutually beneficial trial zero settlement agreement take form simple fixed license fee patent intermediate strength settlement tool entry deterrence party agree settlement sends credible outsider patent weak entry profitable novel explanation settlement recent observation license fee negotiated settlement agreement suggests disclose settlement entrant nonreverse settlement entail fixed fee anticompetitive block entry
2653;ethic bounded rationality sharing outsourcing dynamic information technology outsourcing integrates incomplete contract moral hazard adverse selection perfect realistically bounded rationality addition classical profit-maximizing unconstrained ethic ethically constrained profit-maximizing honor contractual obligation irrespective legal restraint prove bounded rationality ethically constrained obtain strictly profit unconstrained profit-maximizing unconstrained access superset ethical strategy ethical unable reveal ethical commitment contracting partner anytime contractual relationship commitment ethic course morally desirable lead profit unbridled profit-maximization classical economics prove ethic foundational intellectual property sharing reputation well-known facilitator outsourcing mere possibility ethical force across-the-board sharing lower profit induces ethically unconstrained invest developing reputation ethic novel explanation rooted ethic outsourcing booming despite formidable impediment incomplete contract moral hazard adverse selection
472;university partner joint venture investigates condition joint-venture rjv involve university partner hypothesize larger rjvs invite university join venture partner rjvs larger venture expect substantial additional appropriability addition university partner larger venture lower marginal marginal value university research-and-development contribution venture innovative output test hypothesis cooperative core database confirm hypothesis
1940;category spanning evaluation performance revised test corporate law market suggest category-spanning organization receive lower evaluation perform worse organization focused single category propose contingent client value client expect sophisticated service tend value category spanner positively evaluation producer mediates relationship category spanning performance test hypothesis original corporate legal service market london york city paris decade category spanner receive evaluation categorical combination inclusive evaluation mediates significantly relationship category spanning performance enriches understanding audience apprehend market category organization span category
1395;french strategy protecting intellectual property attempting protect innovation choose range mechanism non-statutory trade secret complexity lead-time advantage competitor statutory patent registration trademark copyright little actually choice appropriability mechanism aim determine french intellectual property protection mechanism relates innovation characteristic market sector operate characteristic human resource strategy draw french database covering period choice protection matter emerges complex strategy reveal statutory non-statutory protection category hardly category
100;organizational rule codification knowledge creation inter-organisation cooperative agreement aim analyse collaboration independent linked technological agreement energy field specific focus degree codification inter-organisational rule considering agreement collection codified rule degree codification characteristic inter-firm cooperation
2908;subsidy crowd private research-and-development evidence european framework programme evaluate public subsidy complement substitute private research-and-development spending combining recent framework programme world largest company matching difference-in-difference estimation compute causal subsidy private research-and-development spending average subsidy led increased private budget identify policy-relevant heterogeneity subsidy increased research-and-development r&d-intensive horizon stimulated private research-and-development spending predecessor
333;scientist pay scientist explores relationship wage orientation research-and-development organization adopt science-oriented allow pursue publish individual agenda adoption taste preference ticket admission gain earlier access discovery commercial application productivity wage preference contributes compensating differential productivity rent sharing adopted employing higher-quality cross-sectional evaluation wage biased unobserved heterogeneity overcome bias introduces novel specifically accepting job scientist receive multiple job offer allowing calculation wage-science relationship controlling difference salary level offered individual dataset composed multiple job offer postdoctoral biologist suggest relationship wage robust restricting nonacademic job offer depend critically inclusion researcher fixed conditional perceived ability scientist pay scientist
2145;signaler credibility susceptibility relative reliance signal stakeholder change evaluative violation expectation shown violation expectation lead favorable evaluation stakeholder silent stakeholder evaluate change subsequent violation drawing signaling screening examine evaluative change financial restatement investor appear shift relative reliance signal determining price following earnings restatement change partly reversed following replacement incumbent ceo evaluative change vary depending severity violation
653;price quantity competition differentiated duopoly upstream supplier analyzes noncooperative game choice strategic variable set duopoly presence upstream market input labor input wage decentralized firm‐union bargain duopoly producing substitute choose compete quantity space price space depending distribution bargaining power wage negotiation union relative preference wage input supplier profit‐maximizing vertically differentiated duopoly prefer compete quantity space mixed strategy setting high‐quality play price low‐quality play quantity depending extent substitutability degree vertical product differentiation distribution bargaining power input price negotiation
2945;defensive patent aggregator shield patent assertion entity theoretical defensive patent aggregator dpa patent intermediary aim counter threat patent assertion entity paes technology practicing preempting patent utilized paes investigate extent dpas competition paes patent aggregation
2675;patent trading flow article evidence patent trading flow document aggregate pattern patent sale acquisition examine extent initial innovator potential buyer knowledge stock technology geographical proximity patented likelihood patent sold patent sold bought develop dataset match patent sale information transacted patent owned following patent sale
349;royalty evolving patent right value innovation value innovation innovator change especially response change legal protection patent right afforded innovator proven-valid-and-infringed patent valuable economic commodity untested patent value estimated success rate patent lawsuit database outcome u.s patent litigation plaintiff win patent litigation trial court level implication patent damage award incentive innovate
2246;organization mental health phd student policy observer increasingly concerned potential current academic condition mental health phd student aim current threefold ass prevalence mental health representative phd student flanders belgium compare phd student sample highly educated population highly educated employee education student ass organizational factor relating phd student predict mental health status mental health symptom ghq phd student risk developing common psychiatric disorder especially depression estimate significantly obtained comparison organizational policy significantly prevalence mental health especially work-family interface job demand job control supervisor leadership style team decision-making culture perception career outside academia linked mental health
2944;alleviating concern misappropriation corporate venture-capital creating credible commitment calculative trust venture hesitant accept corporate venture-capital concern intellectual property misappropriation especially true startup stage venture operating weak intellectual-property-right regime drawing transaction economics game examine corporate investor alleviate concern misappropriation establishing credible commitment corporate venture-capital program discourages opportunistic behavior submit corporate investor demonstrate credible commitment investment quantity investment continuity chance forming corporate venture-capital venture investment relationship findings using venture corporate venture-capital investor investment years demonstrate venture pair corporate venture-capital investor credible commitment corporate venture-capital program evidence quantity continuity posse enhanced alleviating fear misappropriation startup venture operates industry potential corporate venture-capital partner corporate venture-capital investor posse absorptive capacity understand venture intellectual property capability beat market
